title,URL,total_time,description,ingredients,instructions,calories,serves
Instant Pot Galbi (Korean-Style Short Ribs),https://www.allrecipes.com/recipe/270527/instant-pot-galbi-korean-style-short-ribs/,145,This version of delicious Korean beef short ribs for your Instant Pot or other multi-cooker pressure cooker will have the ribs falling off the bone!,"['3 pounds beef short ribs', '1 Asian pear - peeled, cored, and coarsely chopped', '1 small onion (chopped)', '4 cloves garlic (chopped)', '0.5 tablespoon fresh ginger (peeled and coarsely chopped)', '1 cup low-sodium soy sauce (divided)', '0.25 cup rice wine', '0.25 cup water', '0.25 cup brown sugar', '2 tablespoons sesame oil (divided)', '0.5 teaspoon ground black pepper', '2 carrots (peeled and cut in chunks)', '5 radishes (peeled and cut into chunks)', '0.25 cup white sugar', '0.5 bunch green onions (chopped)', '1 tablespoon sesame seeds']","['Soak ribs in a large bowl of water for 1 hour.', 'Meanwhile, combine Asian pear, onion, garlic, and ginger in a blender or food processor; purée until smooth. Transfer mixture to a mixing bowl. Mix in 3/4 cup soy sauce, rice wine, water, brown sugar, 1 tablespoon sesame oil, and pepper to create a sauce. Set aside.', ""Drain ribs and dry them well. Trim off excess fat. Place ribs in a multi-functional pressure cooker (such as Instant Pot), then add carrots and radishes. Pour Asian pear sauce on top. Close and lock the lid. Select Meat function according to manufacturer's instructions; set the timer for 35 minutes. Allow 10 to 15 minutes for pressure to build."", ""Release pressure using the natural-release method according to manufacturer's instructions, 10 to 40 minutes. Unlock and remove the lid. Transfer meat and vegetables to a plate and set aside."", 'Select the Sauté function on your Instant Pot. Stir in white sugar, remaining 1/4 cup soy sauce, and remaining 1 tablespoon sesame oil. Cook, stirring occasionally, until sugar has melted and sauce has thickened, about 10 minutes. Return ribs and vegetables to the pot; stir to coat with sauce.', 'Garnish ribs and vegetables with green onions and sesame seeds.']",657 kcal,6 servings
Korean Doenjang-Jjigae (Soybean Paste Soup),https://www.allrecipes.com/recipe/212699/quick-and-simple-korean-doenjang-chigae-bean-pastetofu-soup/,40,Doenjang-jjigae is a Korean soup made with fermented soybean paste and tofu that's easy to make for a tasty balance of spicy and salty flavors.,"['3 cups vegetable stock', '3 cups water', '2 cloves garlic, coarsely chopped', '2 tablespoons Korean soy bean paste (doenjang)', '0.5 (16 ounce package firm tofu (drained) and cubed', '4 green onions (chopped)', '1 zucchini, halved and cut into 1/2-inch slices', '1 jalapeno pepper (sliced)']","['Bring vegetable stock and water to a boil in a saucepan over high heat. Stir in garlic and soybean paste, stirring until the paste dissolves.', 'Stir in tofu, green onion, zucchini, and jalapeño. Allow soup to return to a boil, then reduce heat to low and simmer for 15 minutes.']",59 kcal,6 servings
Korean Mandu (Egg Rolls),https://www.allrecipes.com/recipe/245125/korean-mandu-egg-roll/,55,"Korean egg rolls, also known as mandu, are made with a mixture of beef, pork, and cabbage stuffed in wonton wrappers and fried until golden brown.","['0.5 pound ground beef', '0.5 pound ground pork', '1 cup shredded cabbage', '1 quart vegetable oil for frying (or as needed)', '14 ounce can bean sprouts - drained, rinsed, and finely chopped', '0.35 cup minced celery', '1 green onion (chopped) (white part only)', '1 tablespoon soy sauce', '1.5 teaspoons cornstarch', '1 teaspoon sesame oil', '1 teaspoon salt', '0.5 teaspoon ground black pepper', '12 ounce packages wonton wrappers', '1 large egg, beaten']","['Heat a large skillet over medium-high heat. Cook and stir beef and pork in the hot skillet until browned and crumbly, 5 to 7 minutes; drain and discard grease. Transfer meat mixture to a large bowl, breaking up any large chunks with a wooden spoon.', 'While the meat is cooking, place a steamer insert into a saucepan and fill with water to just below the bottom of the steamer. Bring water to a boil. Add cabbage, cover, and steam until tender, 2 to 4 minutes.', 'Heat oil in a deep-fryer or large saucepan to 360 degrees F (182 degrees C).', 'Mix cabbage, bean sprouts, celery, green onion, soy sauce, cornstarch, sesame oil, salt, and pepper into meat mixture. Spoon mixture into the center of each wonton wrapper. Brush beaten egg onto two edges of each wrapper and fold wrapper around filling, sealing the edges together.', 'Working in batches, fry wontons in hot oil until browned, 3 to 5 minutes. Finish filling and forming remaining wontons while each batch cooks. Drain cooked wontons on a paper towel-lined plate.']",469 kcal,24 servings
Spicy Korean Ribs,https://www.allrecipes.com/recipe/262017/spicy-korean-ribs/,455,"These Korean ribs are marinated, baked, and grilled with various flavors, from spicy kochujang to refreshing pilsner lager and ginger.","['4 racks baby back pork ribs', 'salt and ground black pepper to taste', '1 small onion (sliced)', '1 cup kochujang (Korean hot sauce)', '0.25 cup white vinegar', '0.25 cup minced garlic', '3 tablespoons sesame oil', '2 tablespoons soy sauce', '1.5 inch piece fresh ginger root, minced', '1.5 inch piece fresh ginger root (sliced)', '12 fluid ounce bottle pilsner-style lager', '1.5 teaspoons toasted white sesame seeds', '1.5 teaspoons toasted black sesame seeds']","['Remove membrane from the back of ribs or score with a sharp knife. Place ribs in a shallow dish and season with salt and pepper.', 'Purée onion in a blender or food processor. Add kochujang, vinegar, garlic, sesame oil, soy sauce, and minced ginger to onion in the blender; purée into a sauce.', 'Rub 1/3 of the sauce generously over ribs. Reserve remaining sauce for later. Cover ribs with plastic wrap and refrigerate 5 hours to overnight.', 'Preheat the oven to 325 degrees F (165 degrees C).', 'Scatter sliced ginger root over the bottom of a roasting pan. Place ribs meat-side down on top of ginger slices and pour lager over ribs. Cover with a lid or aluminum foil.', 'Bake in the preheated oven until meat is loosened from ribs but not yet falling off the bone, 2 to 2 1/2 hours. Let cool for 5 to 10 minutes.', 'Preheat an outdoor grill to 400 degrees F (200 degrees C) and lightly oil the grate.', 'Cook ribs on the preheated grill until browned, about 6 minutes per side. Coat with 1/2 of the reserved sauce during the last 2 minutes of cooking each side. Garnish with white and black sesame seeds.']",645 kcal,8 servings
Mom's Spicy Cucumber Kimchee,https://www.allrecipes.com/recipe/254984/moms-spicy-cucumber-kimchee/,75,"Cucumber slices are marinated in vinegar, a spicy gochujang paste, and sesame seeds for quick fresh pickle.","['0.25 cup gochujang (Korean hot pepper paste)', '1 tablespoon white sugar', '1 tablespoon sesame seeds', '2 teaspoons sesame oil', '0.5 cup white vinegar', '2 tablespoons soy sauce', '1 teaspoon toasted sesame oil', '1 dash Korean instant beef stock (such as Dashida®)', '4 Kirby cucumbers (thinly sliced)', '1 tablespoon toasted sesame seeds']","['Combine gochujang, white sugar, 1 tablespoon sesame seeds, and 2 teaspoons sesame oil in a small bowl to make a seasoned gochujang paste.', 'Whisk vinegar, soy sauce, 1 teaspoon toasted sesame oil, and instant beef stock together in a large bowl. Stir in seasoned gochujang paste. Add cucumbers; stir until coated. Sprinkle with 1 tablespoon toasted sesame seeds.', 'Let cucumbers marinate in the refrigerator before serving, at least 1 hour.']",75 kcal,8 servings
Instant Pot Thai Chicken Soup,https://www.allrecipes.com/recipe/8469250/instant-pot-thai-chicken-soup/,50,"This authentic Thai chicken soup with carrots, bell pepper, and shiitake mushrooms is ready in 50 minutes thanks to the Instant Pot.","['4 carrots (peeled and cut into matchstick-size pieces)', '1 medium red bell pepper, cut into short thin strips', '2.5 cups sliced shiitake mushrooms', '12 ounces boneless, skinless chicken breasts, halved horizontally', '2 tablespoons Thai red curry paste', '2 tablespoons sugar', '32 ounce carton Swanson® Chicken Broth (4 cups)', '14 ounce can unsweetened coconut milk', '2 tablespoons lime juice', '1 tablespoon grated lime zest', '2 tablespoons chopped fresh cilantro']","['Place the carrots, red pepper, mushrooms, chicken, curry paste, sugar, and Swanson® Chicken Broth into a 6-quart Instant Pot®.', 'Lock the lid and close the pressure release valve. Pressure cook on High pressure, setting the timer to 4 minutes (timer will begin counting down once pressure is reached- it takes about 15 minutes). When done, press Cancel and use the quick release method to release the pressure.', 'Remove the chicken from the pot and stir in the coconut milk. Shred the chicken and return to the pot. Select the Saute setting and cook for 2 minutes or until hot. Stir in the lime juice and lime zest just before serving. Serve sprinkled with the cilantro.']",266 kcal,6 servings
Sweet Chili Thai Sauce,https://www.allrecipes.com/recipe/87872/sweet-chili-thai-sauce/,20,"This sweet chili sauce makes a great stir-fry sauce and savory dip for spring rolls. It's easy to make with sugar, vinegar, ginger, and chile peppers.","['1 cup water', '1 cup rice vinegar', '1 cup sugar', '2 teaspoons fresh ginger root, minced', '2 teaspoons hot chile pepper, minced', '2 teaspoons ketchup', '1 teaspoon garlic, minced', '2 teaspoons cornstarch', '1 tablespoon water (or as needed)']","['Pour water and vinegar into a saucepan; bring to a boil over high heat. Stir in sugar, ginger, chile pepper, ketchup, and garlic; simmer for 5 minutes.', 'Place cornstarch in a small bowl; mix in water until smooth. Whisk cornstarch mixture into chili sauce.', 'Remove the saucepan from the stove; let cool. Transfer to a bowl, cover, and refrigerate until needed.']",34 kcal,24 servings
Authentic Pad Thai,https://www.allrecipes.com/recipe/222350/authentic-pad-thai/,70,"This authentic pad thai recipe from Tom Thai is made with rice noodles, chicken, peanuts, and a traditional homemade sweet and savory tamarind sauce.","['12 ounces dried rice noodles', '0.5 cup white sugar', '0.5 cup distilled white vinegar', '0.25 cup fish sauce', '2 tablespoons tamarind paste', '2 tablespoons vegetable oil (divided)', '2 boneless, skinless chicken breast halves (sliced) into thin strips', '1.5 teaspoons garlic, minced', '4 large eggs, beaten', '1.5 tablespoons white sugar', '1.5 teaspoons salt', '1 cup coarsely ground peanuts', '2 cups bean sprouts', '0.5 cup chopped fresh chives', '1 tablespoon paprika', '1 medium lime, cut into wedges']","['Place rice noodles into a large bowl and cover with several inches of room temperature water; let soak for 30 to 60 minutes. Drain.', 'Whisk 1/2 cup sugar, vinegar, fish sauce, and tamarind paste together in a saucepan over medium heat. Bring to a simmer, then remove from the heat.', 'Heat 1 tablespoon oil in a skillet over medium-high heat. Add chicken; cook and stir until chicken is no longer pink in the center and the juices run clear, 5 to 7 minutes. Remove from the heat.', 'Heat remaining 1 tablespoon oil in a large skillet or wok over medium-high heat. Add garlic and cook until fragrant, about 1 minute. Stir in eggs; scramble until eggs are nearly cooked through, about 2 minutes. Add chicken and rice noodles and stir until well combined.', 'Stir in tamarind mixture, 1.5 tablespoons sugar, and salt; cook until noodles are tender, 3 to 5 minutes. Stir in peanuts and cook until heated through, 1 to 2 minutes. Garnish with bean sprouts, chives, and paprika; serve with lime wedges.']",583 kcal,6 servings
Asian Coconut Rice,https://www.allrecipes.com/recipe/56059/asian-coconut-rice/,30,"Coconut rice is easy to make with jasmine rice, coconut milk, sugar, and salt for a delicious, restaurant-quality side dish in just 30 minutes.","['14 ounce can coconut milk', '1.25 cups water', '1 teaspoon sugar', '1 pinch salt', '1.5 cups uncooked jasmine rice']","['Combine coconut milk, water, sugar, and salt in a medium saucepan; stir until sugar is dissolved. Stir in rice.', 'Bring to a boil over medium heat. Cover, reduce heat, and simmer until rice is tender and liquid is absorbed, 18 to 20 minutes.']",453 kcal,4 servings
Spicy Thai Basil Chicken (Pad Krapow Gai),https://www.allrecipes.com/recipe/257938/spicy-thai-basil-chicken-pad-krapow-gai/,25,"Chef John's version of this classic Thai dish, made with freshly chopped chicken thighs and fresh basil, has a rich sauce that cooks down into a caramelized glaze.","['0.35 cup chicken broth', '1 tablespoon oyster sauce', '1 tablespoon soy sauce (or as needed)', '2 teaspoons fish sauce', '1 teaspoon white sugar', '1 teaspoon brown sugar', '2 tablespoons vegetable oil', '1 pound skinless, boneless chicken thighs, coarsely chopped', '0.25 cup sliced shallots', '4 cloves garlic, minced', '2 tablespoons minced Thai chilies, Serrano, or other hot pepper', '1 cup very thinly sliced fresh basil leaves', '2 cups hot cooked rice']","['Gather ingredients.', 'Whisk chicken broth, oyster sauce, soy sauce, fish sauce, white sugar, and brown sugar together in a bowl until well blended.', 'Heat large skillet over high heat. Drizzle in oil. Add chicken and stir fry until it loses its raw color, 2 to 3 minutes.', 'Stir in shallots, garlic, and sliced chilies. Continue cooking on high heat until some of the juices start to caramelize in the bottom of the pan, about 2 or 3 more minutes.', 'Add about a tablespoon of the sauce mixture to the skillet; cook and stir until sauce begins to caramelize, about 1 minute.', 'Pour in the rest of the sauce. Cook and stir until sauce has deglazed the bottom of the pan. Continue to cook until sauce glazes onto the meat, 1 or 2 more minutes. Remove from heat.', 'Stir in basil. Cook and stir until basil is wilted, about 20 seconds. Serve with rice.', 'Serve hot and enjoy!']",715 kcal,2 servings
The Best Thai Coconut Soup,https://www.allrecipes.com/recipe/146035/the-best-thai-coconut-soup/,60,"This Thai coconut soup made with red curry paste, lemongrass, lime juice, shrimp, and fish sauce is full of authentic, bold, and tasty Thai flavors.","['1 tablespoon vegetable oil', '2 tablespoons grated fresh ginger', '2 teaspoons red curry paste', '1 stalk lemon grass, minced', '4 cups chicken broth', '3 tablespoons fish sauce', '1 tablespoon light brown sugar', '3-13.5 ounce cans coconut milk', '0.5 pound fresh shiitake mushrooms (sliced)', '1 pound medium shrimp (peeled and deveined)', '2 tablespoons fresh lime juice', 'some pinched of salt', '0.25 cup chopped fresh cilantro']","['Heat oil in a large pot over medium heat. Add ginger, curry paste, and lemongrass; cook and stir in the hot oil for 1 minute.', 'Gradually stir in chicken broth, then stir in fish sauce and brown sugar; reduce heat to low and simmer for 15 minutes.', 'Add coconut milk and mushrooms; cook and stir until mushrooms are soft, about 5 minutes.', 'Add shrimp; cook until no longer translucent, about 5 minutes. Stir in lime juice; season with salt and garnish with cilantro.']",368 kcal,8 servings
Thai Sweet Sticky Rice With Mango (Khao Neeo Mamuang),https://www.allrecipes.com/recipe/150313/thai-sweet-sticky-rice-with-mango-khao-neeo-mamuang/,90,Mango sticky rice is classic Thai street fare and a popular restaurant dessert. This version is easy to make at home with coconut milk and fresh mangos.,"['2 cups water', '1.5 cups uncooked short-grain white rice', '1.5 cups coconut milk (divided)', '1 cup white sugar', '0.75 teaspoon salt (divided)', '1 tablespoon white sugar', '1 tablespoon tapioca starch', '3 mangos (peeled and sliced)', '1 tablespoon toasted sesame seeds']","['Combine water and rice in a saucepan. Bring to a boil, cover, and reduce heat to low. Simmer until water is absorbed, 15 to 20 minutes.', 'While the rice cooks, combine 1.5 cups coconut milk, 1 cup sugar, and 1/2 teaspoon salt in another saucepan. Bring to a boil over medium heat; remove from the heat and set aside.', 'Stir cooked rice into coconut milk mixture. Cover and allow to cool for 1 hour.', 'Make a sauce by combining 1/2 cup coconut milk, 1 tablespoon sugar, 1/4 teaspoon salt, and tapioca starch in another saucepan; bring to a boil.', 'Place coconut rice on a serving dish and arrange mangos on top. Pour sauce over mangos and rice. Sprinkle with sesame seeds.']",817 kcal,4 servings
Chicken Massaman Curry,https://www.allrecipes.com/recipe/142055/chicken-massaman-curry/,55,"This massaman curry recipe, flavored with lime, tamarind, and coconut milk, is quick and easy to make. Enjoy the deliciously warm, comforting flavors.","['2 tablespoons vegetable oil', '3 tablespoons curry paste', '3/4 inch thick slice ginger, minced', '1.25 pounds skinless, boneless chicken breast meat - cubed', '0.35 cup peanut butter', '3 tablespoons brown sugar', '3 tablespoons fish sauce', '3 tablespoons tamarind paste', '3 cups peeled, cubed potatoes', '13.5 ounce can coconut milk', '3 tablespoons fresh lime juice']","['Heat vegetable oil in a large saucepan over medium heat. Stir in curry paste and minced ginger; cook and stir for 2 minutes. Add in cubed chicken, and cook until the pieces turn white on the outside, about 3 minutes.', 'Mix in peanut butter, brown sugar, fish sauce, and tamarind paste, stirring to combine. Add potatoes and coconut milk. Bring to a boil, then reduce heat to medium-low, cover, and simmer until the potatoes are tender and the chicken pieces are no longer pink in the center, about 20 minutes.', 'Add lime juice and cook for an additional 5 minutes before serving.']",690 kcal,4 servings
Pad Thai,https://www.allrecipes.com/recipe/42968/pad-thai/,45,"This simple pad thai recipe with chicken uses rice noodles and has a delicious sauce made with vinegar, sugar, fish sauce, and red pepper.","['12 ounce package rice noodles', '2 tablespoons butter', '1 pound boneless, skinless chicken breast halves, cut into bite-sized pieces', '0.25 cup vegetable oil', '4 eggs', '3 tablespoons white sugar', '2 tablespoons fish sauce', '1 tablespoon white wine vinegar', '0.125 tablespoon crushed red pepper', '2 cups bean sprouts', '3 green onions (chopped)', '0.25 cup crushed peanuts', '1 lemon, cut into wedges']","['Gather all ingredients.', 'Soak rice noodles in cold water until soft, 30 to 50 minutes. Drain and set aside.', 'Meanwhile, heat butter in a wok; add chicken and sauté until browned. Remove chicken and set aside.', 'Heat oil in the wok over medium-high heat. Crack eggs into hot oil and cook until firm. Stir in chicken and cook for 5 minutes.', 'Add softened noodles, sugar, fish sauce, vinegar, and red pepper; mix well until noodles are tender. Adjust seasonings to taste.', 'Stir bean sprouts into wok and cook for 3 minutes.', 'Serve topped with green onions, crushed peanuts, and a wedge of lemon.']",524 kcal,6 servings
Peanut Butter Noodles,https://www.allrecipes.com/recipe/11835/peanut-butter-noodles/,25,"Chinese peanut butter noodles are coated in a sweet and salty sauce made with peanut butter, honey, soy sauce, and ginger simmered with chicken broth.","['8 ounces Udon noodles', '0.5 cup chicken broth', '3 tablespoons soy sauce', '3 tablespoons peanut butter', '1.5 tablespoons minced fresh ginger root', '1.5 tablespoons honey', '3 cloves garlic, minced', '2 teaspoons hot chile paste', '0.25 cup chopped green onions', '0.25 cup chopped peanuts']","['Bring a large pot of lightly salted water to a boil. Cook udon in boiling water, stirring occasionally, until noodles are tender yet firm to the bite, 10 to 12 minutes. Drain.', 'Meanwhile, combine chicken broth, soy sauce, peanut butter, ginger, honey, garlic, and chili paste in a medium saucepan. Cook and stir over medium heat until peanut butter melts and sauce is heated through.', 'Add drained noodles to peanut butter sauce; toss to coat. Garnish with green onions and peanuts.']",330 kcal,4 servings
Thai Green Curry Chicken,https://www.allrecipes.com/recipe/141833/thai-green-curry-chicken/,50,"This Thai green curry recipe is made with tender chicken, green curry paste, coconut milk, ginger, and green onions for a deliciously fragrant dinner.","['1 tablespoon dark soy sauce', '1 tablespoon all-purpose flour', '1 pound skinless, boneless chicken breast halves - cut into 1 inch cubes', '2 tablespoons cooking oil', '2 tablespoons green curry paste', '2 green onions with tops (chopped)', '3 cloves garlic (peeled and chopped)', '1 teaspoon fresh ginger (peeled and finely chopped)', '2 cups coconut milk', '2 tablespoons white sugar', '1 tablespoon fish sauce', '1 tablespoon dark soy sauce', '0.5 cup cilantro leaves, for garnish']","['Pour 1 tablespoon soy sauce into a shallow dish. Place 1 tablespoon flour into a separate shallow dish. Toss chicken pieces in soy sauce, then in flour, coating pieces evenly.', 'Heat oil in a large skillet over medium-high heat. Add chicken; cook and stir until browned, about 5 minutes. Transfer chicken to a plate; set aside.', 'Reduce heat to medium and stir in curry paste. Cook for 1 minute until fragrant. Add green onions, garlic, and ginger; cook an additional 2 minutes. Return chicken to the skillet, stirring to coat with curry paste. Stir in coconut milk, sugar, fish sauce, and remaining 1 tablespoon soy sauce; simmer over medium heat until chicken is tender and cooked through, about 20 minutes. Serve curry with cilantro leaves.']",472 kcal,4 servings
Panang Curry with Chicken,https://www.allrecipes.com/recipe/213947/panang-curry-with-chicken/,35,"This panang curry recipe is made with coconut milk, lime leaves, basil, chile peppers, and chicken breast for a simple and delicious Thai curry dish.","['5 tablespoons Panang curry paste', '1 tablespoon cooking oil', '4 cups coconut milk', '0.66666668653488 pound skinless, boneless chicken breast, cubed', '2 tablespoons palm sugar', '2 tablespoons fish sauce', '6 makrut lime leaves (torn in half)', '2 fresh red chile peppers (sliced)', '0.25 cup fresh Thai basil leaves']","['Fry curry paste in oil in a large skillet or wok over medium heat until fragrant.', 'Stir in coconut milk and bring to a boil. Add chicken; cook and stir until chicken is nearly cooked through, 10 to 15 minutes.', 'Stir palm sugar, fish sauce, and lime leaves into mixture; simmer for 5 minutes. Taste and adjust saltiness by adding more fish sauce if necessary.', 'Garnish with sliced red chile peppers and Thai basil leaves.']",596 kcal,4 servings
Curried Coconut Chicken,https://www.allrecipes.com/recipe/68532/curried-coconut-chicken/,60,This chicken coconut curry recipe is an easy stovetop dinner made with cubed chicken breast meat cooked in a creamy tomato and coconut milk sauce.,"['2 pounds boneless skinless chicken breasts, cut into 1/2-inch chunks', 'salt and ground black pepper to taste', '1.5 tablespoons vegetable oil', '2 tablespoons curry powder', '0.5 onion (thinly sliced)', '2 cloves garlic, crushed', '14.5 ounce can stewed (diced) tomatoes', '14 ounce can coconut milk', '8 ounce can tomato sauce', '3 tablespoons sugar']","['Season chicken pieces with salt and pepper; set aside.', 'Heat oil in a large skillet over medium-high heat. Cook and stir curry powder in hot oil for 1 minute. Stir in onions and garlic; cook 1 minute. Add chicken, tossing lightly to coat with curry oil. Reduce heat to medium and cook, stirring occasionally, until chicken is no longer pink in the center and juices run clear, 7 to 10 minutes.', 'Stir tomatoes, coconut milk, tomato sauce, and sugar into the skillet. Cover and simmer, stirring occasionally, for 30 to 40 minutes.']",375 kcal,6 servings
Thai Cucumber Salad,https://www.allrecipes.com/recipe/169593/thai-cucumber-salad/,45,Try this Thai cucumber salad recipe for zesty cukes in a sweet and tangy vinaigrette — it's just like the salad you'd get at your favorite Thai restaurant.,"['3 large cucumbers (peeled), halved lengthwise, seeded, and cut into 1/4-inch slices', '1 tablespoon salt', '0.5 cup white sugar', '0.5 cup rice wine vinegar', '2 medium jalapeno peppers, seeded and chopped', '0.25 cup chopped cilantro', '0.5 cup chopped peanuts']","['Toss cucumbers with salt in a colander; leave in the sink to drain for 30 minutes. Rinse with cold water, then drain and pat dry with paper towels.', 'Whisk sugar and vinegar together in a mixing bowl until sugar has dissolved. Add cucumbers, jalapeños, and cilantro; toss to combine. Sprinkle chopped peanuts on top just before serving.']",238 kcal,4 servings
The Best Thai Peanut Sauce,https://www.allrecipes.com/recipe/72487/the-best-thai-peanut-sauce/,15,"Best Thai peanut sauce uses peanut butter, coconut milk, lime juice, soy sauce, ginger, and garlic for an easy, flavorful, no-cook dipping sauce.","['1.5 cups creamy peanut butter', '0.5 cup coconut milk', '3 tablespoons water', '3 tablespoons fresh lime juice', '3 tablespoons soy sauce', '1 tablespoon fish sauce', '1 tablespoon hot sauce', '1 tablespoon minced fresh ginger root', '3 cloves garlic, minced', '0.25 cup chopped fresh cilantro']","['Mix together peanut butter, coconut milk, water, lime juice, soy sauce, fish sauce, hot sauce, ginger, and garlic in a medium serving bowl until well combined. Stir in cilantro just before serving.']",160 kcal,16 servings
Thai Pineapple Chicken Curry,https://www.allrecipes.com/recipe/86005/thai-pineapple-chicken-curry/,50,"This pineapple curry is a quick, easy Thai curry dish that's a perfect balance of sweet and spicy. Get these bold flavors straight from your own wok.","['1 quart water', '2 cups uncooked jasmine rice', '0.25 cup red curry paste', '13.5 ounce cans coconut milk (divided)', '2 skinless, boneless chicken breast halves - cut into thin strips', '1.5 cups sliced bamboo shoots (drained)', '0.25 cup white sugar', '3 tablespoons fish sauce', '0.5 red bell pepper, julienned', '0.5 green bell pepper, julienned', '0.5 small onion (chopped)', '1 cup pineapple chunks (drained)']","['Bring water and rice to a boil in a pot. Reduce heat to low, cover, and simmer for 25 minutes.', 'Whisk together curry paste and 1 can coconut milk in a bowl. Transfer to a wok and mix in remaining coconut milk, chicken, bamboo shoots, sugar, and fish sauce. Bring to a boil and cook until chicken juices run clear, 15 minutes.', 'Mix bell peppers and onion into the wok. Continue cooking until peppers are tender, about 10 minutes.', 'Remove from heat and stir in pineapple. Serve over cooked rice.']",623 kcal,6 servings
Thai Spicy Basil Chicken Fried Rice,https://www.allrecipes.com/recipe/145572/thai-spicy-basil-chicken-fried-rice/,40,"This Thai basil fried rice combines leftover jasmine rice with spicy chicken, bell pepper, onion, and garlic, flavored with oyster and fish sauce.","['3 tablespoons oyster sauce', '2 tablespoons fish sauce', '1 teaspoon white sugar', '0.5 cup peanut oil for frying', '6 large cloves garlic clove, crushed', '2 serrano peppers, crushed', '1 pound boneless, skinless chicken breast, cut into thin strips', '1 red bell pepper (thinly sliced)', '1 onion (thinly sliced)', '4 cups cooked jasmine rice, chilled', '2 cups sweet Thai basil', '1 cucumber (sliced)', '0.5 cup cilantro sprigs']","['Gather all ingredients.', 'Whisk together oyster sauce, fish sauce, and sugar in a small bowl; set aside.', 'Heat oil in a wok over medium-high heat until oil begins to smoke. Add garlic and Serrano peppers, stirring quickly.', 'Stir in chicken, bell pepper, onion, and oyster sauce mixture; cook until chicken is no longer pink in the center and the juices run clear.', 'Increase heat to high and stir in chilled rice; stir quickly until sauce is well blended with rice. Use the back of a spoon to break up any rice sticking together.', 'Remove the wok from heat. Stir in basil leaves. Garnish with sliced cucumber and cilantro.']",794 kcal,6 servings
Chicken Satay,https://www.allrecipes.com/recipe/17511/chicken-satay/,160,"Why go out for Thai food when you can make it at home? These delicious Thai-style chicken satay are made of chicken marinated in a peanutty sauce, and then grilled.","['2 tablespoons creamy peanut butter', '0.5 cup soy sauce', '0.5 cup lemon or lime juice', '1 tablespoon brown sugar', '2 tablespoons curry powder', '2 cloves garlic (chopped)', '1 teaspoon hot pepper sauce', '6 skinless, boneless chicken breast halves - cubed']","['In a mixing bowl, combine peanut butter, soy sauce, lime juice, brown sugar, curry powder, garlic and hot pepper sauce. Place the chicken breasts in the marinade and refrigerate. Let the chicken marinate at least 2 hours, overnight is best.', 'Preheat a grill to high heat.', 'Weave the chicken onto skewers, then grill for 5 minutes per side.']",162 kcal,12 servings
How to Make Peanut Dipping Sauce,https://www.allrecipes.com/recipe/234297/how-to-make-peanut-dipping-sauce/,20,Learn how to make a peanut sauce for spring rolls that's fantastic drizzled over grilled meats and veggies too — you'll want to put it on everything!,"['0.75 cup smooth natural peanut butter', '2 cloves garlic, minced', '2 tablespoons brown sugar', '1 tablespoon fish sauce', '2 teaspoons soy sauce', '2 teaspoons toasted sesame oil', '0.5 lime, juiced', '1 teaspoon chile-garlic sauce (such as Sriracha)', '5.6 ounce can coconut milk', '2 teaspoons chopped red bell pepper', '2 teaspoons chopped fresh cilantro', '2 teaspoons chopped peanuts']","['Place peanut butter into a mixing bowl. Whisk in garlic, brown sugar, fish sauce, soy sauce, and sesame oil until combined, followed by lime juice and Sriracha.', 'Bring coconut milk to a simmer in a small saucepan over medium heat. Pour hot coconut milk over peanut butter mixture and whisk until smooth.', 'Transfer to a serving bowl and garnish with chopped red pepper, cilantro, and peanuts.']",126 kcal,12 servings
Thai Steamed Mussels,https://www.allrecipes.com/recipe/98442/thai-steamed-mussels/,30,"These Thai mussels are quickly cooked in a flavorful broth of coconut milk, lime juice, white wine, red curry paste, garlic, fish sauce, and sugar.","['13.5 ounce can unsweetened coconut milk', '0.35 cup fresh lime juice', '0.35 cup dry white wine', '1.5 tablespoons Thai red curry paste', '1.5 tablespoons minced garlic', '1 tablespoon Asian fish sauce', '1 tablespoon white sugar', '5 pounds fresh mussels, scrubbed and debearded', '2 cups chopped fresh cilantro']","['Combine coconut milk, lime juice, white wine, curry paste, garlic, fish sauce, and sugar in a large pot. Stir to dissolve sugar and curry paste; bring to a boil. Let mixture boil for 2 minutes, then add mussels. Cover and cook, stirring occasionally, until mussels are opened, 5 to 8 minutes.', 'Remove the pot from heat and discard any unopened mussels. Pour mussels and liquid into a serving dish and toss with cilantro.']",485 kcal,6 servings
